,article_id,dates
4676,70b52481,"[datetime.date(2030, 12, 11), datetime.date(2017, 12, 12), datetime.date(2039, 12, 11), datetime.date(2017, 12, 11)]"
6285,912a6d77,[]
4227,676f643b,"[datetime.date(2018, 5, 12), datetime.date(2018, 3, 18)]"
2077,39ee6b93,[]
1086,25b2387e,"[datetime.date(2018, 3, 18)]"
9664,d5597c7b,"[datetime.date(2017, 12, 20), datetime.date(2022, 11, 30), datetime.date(2017, 12, 26), datetime.date(2017, 12, 21)]"
2891,4b4819a8,[]
1143,26c5a0f1,"[datetime.date(2018, 5, 8)]"
2800,49238071,"[datetime.date(2015, 4, 18)]"
3993,62a10e71,"[datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]"
159,13c6fe3c,"[datetime.date(2017, 5, 15), datetime.date(2019, 12, 15), datetime.date(2020, 12, 15)]"
1871,356df481,"[datetime.date(2017, 3, 29)]"
309,168cafe4,[]
5615,832770ae,"[datetime.date(2018, 2, 21)]"
11579,fccf640,"[datetime.date(2017, 4, 14), datetime.date(2017, 5, 14), datetime.date(2017, 12, 4), datetime.date(2017, 12, 17), datetime.date(2014, 12, 14)]"
1252,28d1c317,"[datetime.date(2020, 2, 4), datetime.date(2018, 2, 3), datetime.date(2018, 2, 7)]"
3188,526276bf,[]
4736,71efb38c,"[datetime.date(2050, 2, 4), datetime.date(2004, 2, 4), datetime.date(2018, 6, 4), datetime.date(2000, 2, 4), datetime.date(2018, 2, 3)]"
9399,cfff704b,[]
1633,30624988,"[datetime.date(2018, 5, 17), datetime.date(2018, 5, 23), datetime.date(2013, 10, 17), datetime.date(2017, 5, 17), datetime.date(2018, 4, 17)]"
3244,537597ab,"[datetime.date(2018, 12, 26), datetime.date(2018, 3, 26), datetime.date(2018, 12, 31), datetime.date(2017, 12, 31)]"
10101,de1d2a9f,"[datetime.date(2018, 3, 10), datetime.date(2018, 5, 2), datetime.date(2018, 12, 10), datetime.date(2018, 5, 14), datetime.date(2018, 5, 10)]"
11442,fa3ecc95,"[datetime.date(2020, 12, 18), datetime.date(2017, 12, 24), datetime.date(2017, 12, 18), datetime.date(2018, 4, 18), datetime.date(2018, 12, 18)]"
1551,2e8982ca,"[datetime.date(2018, 3, 26), datetime.date(2017, 4, 2), datetime.date(2018, 4, 7), datetime.date(2018, 4, 4)]"
2619,454f9c44,"[datetime.date(2017, 12, 20), datetime.date(2017, 3, 20), datetime.date(2017, 11, 20)]"
1776,334da56d,"[datetime.date(2018, 1, 30), datetime.date(2018, 1, 25), datetime.date(2018, 12, 30), datetime.date(2061, 1, 30)]"
3501,59010cba,"[datetime.date(2018, 5, 4), datetime.date(2018, 3, 4), datetime.date(2018, 6, 7)]"
3116,50a30e2,"[datetime.date(2018, 3, 25), datetime.date(2018, 3, 18), datetime.date(2018, 3, 29)]"
4733,71d35bcb,"[datetime.date(2020, 12, 13), datetime.date(2017, 12, 19), datetime.date(2017, 12, 13), datetime.date(2025, 12, 13), datetime.date(2017, 1, 13)]"
6802,9b9387f,"[datetime.date(2018, 12, 31), datetime.date(2017, 12, 31), datetime.date(2018, 12, 6), datetime.date(2018, 4, 9), datetime.date(2018, 4, 6)]"
10090,ddd68040,"[datetime.date(2018, 1, 22), datetime.date(2018, 5, 16)]"
8999,c7ce8063,"[datetime.date(2040, 5, 14), datetime.date(2020, 4, 22), datetime.date(2018, 9, 14), datetime.date(2017, 5, 14), datetime.date(2018, 10, 14)]"
2636,4593c98a,[]
10972,f043c554,[]
8363,bb5a3d35,"[datetime.date(2017, 5, 14), datetime.date(2017, 7, 17), datetime.date(2017, 12, 14)]"
4351,69c0ab33,"[datetime.date(2020, 5, 10), datetime.date(2030, 5, 10), datetime.date(2018, 5, 16)]"
9259,cd4574f4,"[datetime.date(2018, 1, 25), datetime.date(2016, 1, 29)]"
1457,2c9d491f,"[datetime.date(2018, 1, 24), datetime.date(2015, 1, 24), datetime.date(2018, 1, 26)]"
1785,33913bed,"[datetime.date(2013, 11, 28), datetime.date(2015, 3, 28), datetime.date(2010, 3, 28), datetime.date(2018, 3, 28), datetime.date(2013, 3, 28)]"
4722,719beee4,"[datetime.date(2018, 5, 13)]"
6060,8cac8fc0,"[datetime.date(2018, 5, 7), datetime.date(2058, 5, 22), datetime.date(2018, 5, 22), datetime.date(2018, 5, 3)]"
5594,82c4d1c6,"[datetime.date(2017, 1, 9), datetime.date(2016, 1, 9)]"
10374,e44d6bdb,"[datetime.date(2008, 2, 24), datetime.date(2015, 11, 24), datetime.date(2012, 3, 15), datetime.date(2010, 2, 24), datetime.date(2014, 2, 24)]"
3855,5fc84483,"[datetime.date(2018, 5, 22)]"
1072,2546810b,"[datetime.date(2017, 5, 18), datetime.date(2014, 12, 18)]"
7710,addd74fe,"[datetime.date(2017, 1, 6), datetime.date(2018, 5, 6), datetime.date(2018, 1, 6), datetime.date(2018, 1, 11), datetime.date(2014, 9, 19)]"
3446,57f80024,"[datetime.date(2017, 5, 15), datetime.date(2025, 12, 15), datetime.date(2017, 12, 16), datetime.date(2017, 12, 15), datetime.date(2017, 12, 11)]"
1959,376305c2,"[datetime.date(2010, 1, 7), datetime.date(2024, 1, 7), datetime.date(2060, 1, 7), datetime.date(2015, 1, 7), datetime.date(2017, 1, 7)]"
6455,9513acfa,"[datetime.date(2017, 12, 20), datetime.date(2022, 11, 30), datetime.date(2017, 12, 26)]"
1680,31684bea,"[datetime.date(2017, 12, 21)]"
10876,ee5530a3,"[datetime.date(2018, 2, 27)]"
823,20974515,"[datetime.date(2018, 5, 10)]"
6150,8e2da89d,"[datetime.date(2015, 12, 15)]"
4213,672c08f8,"[datetime.date(2016, 11, 13), datetime.date(2017, 12, 6), datetime.date(2017, 9, 13), datetime.date(2018, 3, 7), datetime.date(2017, 12, 13)]"
3312,54f6b17a,"[datetime.date(2017, 7, 13), datetime.date(2018, 1, 7), datetime.date(2018, 11, 27), datetime.date(2018, 12, 7), datetime.date(2018, 2, 6)]"
10785,ec63e7be,[]
1394,2bb6bcc9,[]
2390,40674f19,"[datetime.date(2018, 4, 7), datetime.date(2018, 3, 7), datetime.date(2018, 4, 17), datetime.date(2011, 4, 8), datetime.date(2040, 4, 7)]"
5581,828945f4,"[datetime.date(2018, 1, 24), datetime.date(2018, 5, 30)]"
3405,5701f7d0,"[datetime.date(2014, 1, 9), datetime.date(2018, 1, 10), datetime.date(2017, 1, 9), datetime.date(2018, 1, 9)]"
2550,441e8d3b,"[datetime.date(2018, 5, 11), datetime.date(2018, 1, 10), datetime.date(2011, 12, 11), datetime.date(2020, 1, 11)]"
7224,a4611d9b,"[datetime.date(2017, 12, 17), datetime.date(2017, 12, 15), datetime.date(2033, 12, 16), datetime.date(2017, 12, 16)]"
6440,94cf0a7f,"[datetime.date(2040, 1, 10)]"
416,18782729,"[datetime.date(2018, 6, 9), datetime.date(2018, 6, 11), datetime.date(2020, 3, 7), datetime.date(2001, 6, 7)]"
3153,5172f064,"[datetime.date(2018, 5, 28), datetime.date(2014, 5, 28), datetime.date(2005, 5, 28), datetime.date(2018, 5, 4), datetime.date(2010, 5, 28)]"
5503,8121b25a,"[datetime.date(2051, 5, 3), datetime.date(2018, 5, 5)]"
3479,587d519,"[datetime.date(2017, 2, 3)]"
10592,e8b3014a,"[datetime.date(2008, 1, 16), datetime.date(2018, 1, 17), datetime.date(2018, 1, 22), datetime.date(2018, 6, 16), datetime.date(2018, 1, 13)]"
10424,e539432a,"[datetime.date(2018, 3, 1)]"
9024,c86d8009,"[datetime.date(2009, 11, 11), datetime.date(2017, 12, 8), datetime.date(2017, 12, 11), datetime.date(2016, 12, 11), datetime.date(2017, 12, 1)]"
440,18fcf729,"[datetime.date(2016, 12, 12)]"
3634,5beb718f,"[datetime.date(2018, 5, 6), datetime.date(2018, 1, 4), datetime.date(2016, 5, 4), datetime.date(2018, 5, 10)]"
8600,c003622d,"[datetime.date(2018, 8, 10), datetime.date(2018, 5, 10), datetime.date(2018, 12, 10), datetime.date(2018, 5, 16)]"
3702,5d209e8b,[]
9498,d1ee5a2b,"[datetime.date(2018, 6, 5), datetime.date(2015, 8, 5), datetime.date(2013, 11, 5), datetime.date(2016, 10, 12)]"
7245,a4d40844,"[datetime.date(2018, 5, 4), datetime.date(2025, 5, 21)]"
8531,beb60d70,[]
11288,f6f20246,"[datetime.date(2016, 5, 21), datetime.date(2018, 3, 21), datetime.date(2018, 5, 9), datetime.date(2000, 5, 21), datetime.date(2063, 5, 21)]"
6284,91298062,"[datetime.date(2040, 3, 19), datetime.date(2005, 3, 19), datetime.date(2018, 3, 15), datetime.date(2016, 3, 19), datetime.date(2018, 3, 22)]"
9346,cedd0947,"[datetime.date(2015, 5, 1)]"
4591,6f01fe1a,"[datetime.date(2018, 4, 12), datetime.date(2018, 11, 6)]"
2701,472041cc,"[datetime.date(2018, 5, 7), datetime.date(2018, 6, 11), datetime.date(2018, 6, 3), datetime.date(2004, 6, 7), datetime.date(2017, 6, 7)]"
778,1fa20d3b,"[datetime.date(2017, 12, 12), datetime.date(2017, 12, 8), datetime.date(2017, 12, 11), datetime.date(2017, 12, 17), datetime.date(2017, 3, 8)]"
6751,9a7be499,"[datetime.date(2012, 5, 1), datetime.date(2018, 5, 6), datetime.date(2018, 5, 17), datetime.date(2018, 5, 2), datetime.date(2020, 5, 1)]"
4614,6f60a57b,"[datetime.date(2017, 2, 21), datetime.date(2009, 2, 21), datetime.date(2018, 2, 21)]"
409,185416ad,[]
8152,b6dffaad,"[datetime.date(2018, 5, 17), datetime.date(2016, 2, 18)]"
9786,d7cbe93e,"[datetime.date(2017, 12, 15), datetime.date(2017, 12, 8), datetime.date(2017, 12, 11)]"
2990,4db980a8,"[datetime.date(2019, 12, 8), datetime.date(2020, 12, 8), datetime.date(2017, 5, 8), datetime.date(2020, 12, 31), datetime.date(2019, 3, 8)]"
4885,74e3fcc0,[]
2596,44df7f03,"[datetime.date(2017, 3, 4), datetime.date(2020, 1, 4), datetime.date(2017, 11, 17), datetime.date(2018, 1, 9), datetime.date(2005, 1, 4)]"
3591,5af80253,"[datetime.date(2018, 5, 18), datetime.date(2018, 5, 17), datetime.date(2017, 10, 17), datetime.date(2015, 12, 17), datetime.date(2019, 5, 17)]"
9188,cbfd9a94,"[datetime.date(2030, 3, 9), datetime.date(2017, 3, 9), datetime.date(2035, 3, 9)]"
2529,439dc88b,"[datetime.date(2016, 1, 9), datetime.date(2017, 1, 9), datetime.date(2022, 1, 9), datetime.date(2018, 3, 9), datetime.date(2018, 1, 12)]"
1180,279338a2,[]
4581,6ec8024f,[]
5940,8a4d2cc6,"[datetime.date(2018, 5, 6), datetime.date(2018, 6, 6), datetime.date(2018, 12, 6), datetime.date(2009, 6, 6), datetime.date(2018, 4, 6)]"
4580,6ec7fa16,"[datetime.date(2040, 12, 12), datetime.date(2017, 12, 12), datetime.date(2017, 12, 10)]"
7269,a565e50f,"[datetime.date(2018, 12, 9), datetime.date(2014, 4, 9), datetime.date(2018, 4, 11), datetime.date(2018, 3, 9), datetime.date(2023, 4, 9)]"
7132,a2a265e,"[datetime.date(2017, 12, 20), datetime.date(2017, 5, 20)]"
3049,4f284c2f,"[datetime.date(2015, 12, 13), datetime.date(2017, 12, 7), datetime.date(2000, 12, 13), datetime.date(2017, 12, 13)]"
238,15504c86,"[datetime.date(2018, 1, 22), datetime.date(2032, 1, 22)]"
6147,8e267ac2,"[datetime.date(2018, 5, 13), datetime.date(2018, 5, 14), datetime.date(2018, 5, 10)]"
7162,a33b150b,"[datetime.date(2016, 1, 12), datetime.date(2018, 1, 17), datetime.date(2018, 1, 12)]"
738,1eeb9043,"[datetime.date(2018, 1, 15), datetime.date(2018, 1, 4)]"
5817,87711895,"[datetime.date(2013, 5, 24), datetime.date(2018, 5, 24), datetime.date(2018, 1, 1), datetime.date(2017, 6, 15)]"
10932,ef56fb55,[]
11094,f2eb4865,"[datetime.date(2014, 1, 22), datetime.date(2018, 1, 1), datetime.date(2018, 1, 22), datetime.date(2018, 5, 22)]"
9644,d4dc76a1,"[datetime.date(2035, 12, 20)]"
7151,a309504e,"[datetime.date(2019, 3, 16), datetime.date(2017, 9, 16), datetime.date(2020, 3, 16), datetime.date(2018, 3, 16)]"
408,184e51d3,"[datetime.date(2018, 12, 26), datetime.date(2018, 12, 31), datetime.date(2018, 2, 26), datetime.date(2017, 12, 31)]"
10986,f0a123a5,[]
5399,7ee7c0b,[]
5557,82048d2b,"[datetime.date(2018, 2, 23), datetime.date(2012, 2, 24), datetime.date(2021, 2, 24), datetime.date(2018, 2, 2), datetime.date(2018, 2, 1)]"
318,16afcca7,"[datetime.date(2016, 11, 28), datetime.date(2018, 12, 28), datetime.date(2017, 12, 14)]"
2446,4194c8f4,[]
8489,be04e65d,"[datetime.date(2018, 6, 5)]"
5902,8990dcb2,"[datetime.date(2014, 1, 18), datetime.date(2020, 1, 18), datetime.date(2015, 1, 18), datetime.date(2018, 1, 24), datetime.date(2017, 1, 18)]"
6636,983e00c6,"[datetime.date(2018, 2, 9)]"
692,1e135949,"[datetime.date(2016, 1, 3), datetime.date(2018, 3, 3), datetime.date(2017, 1, 3)]"
6312,91c8519,"[datetime.date(2018, 5, 23), datetime.date(2012, 4, 3), datetime.date(2018, 1, 23)]"
6333,92499446,"[datetime.date(2017, 12, 15)]"
9005,c7ee49e1,"[datetime.date(2018, 2, 9), datetime.date(2018, 5, 9)]"
7021,a003781c,"[datetime.date(2018, 6, 11), datetime.date(2018, 3, 6), datetime.date(2018, 6, 10), datetime.date(2008, 6, 6), datetime.date(2017, 3, 6)]"
8530,beb23cc2,"[datetime.date(2018, 2, 10), datetime.date(2017, 2, 5), datetime.date(2018, 2, 3), datetime.date(2016, 2, 5), datetime.date(2018, 2, 4)]"
8719,c27416c1,"[datetime.date(2017, 7, 13), datetime.date(2016, 12, 13), datetime.date(2017, 2, 13), datetime.date(2017, 2, 1), datetime.date(2017, 11, 11)]"
951,22f2574f,[]
2911,4befd1d9,"[datetime.date(2018, 1, 31), datetime.date(2018, 2, 1), datetime.date(2018, 3, 1)]"
6022,8bd876ec,"[datetime.date(2018, 5, 23), datetime.date(2018, 5, 17), datetime.date(2015, 5, 17)]"
1817,34493b49,"[datetime.date(2017, 12, 6), datetime.date(2035, 12, 10), datetime.date(2017, 12, 10), datetime.date(2017, 5, 10)]"
5261,7c7c5b9c,"[datetime.date(2039, 5, 7), datetime.date(2054, 5, 7), datetime.date(2018, 5, 1), datetime.date(2018, 1, 5)]"
6937,9e54f3cd,"[datetime.date(2022, 4, 7)]"
558,1b6b781f,[]
7,1037fd9b,"[datetime.date(2017, 12, 6), datetime.date(2018, 12, 13), datetime.date(2016, 1, 13), datetime.date(2016, 12, 13)]"
2963,4d1adf5f,"[datetime.date(2020, 2, 6), datetime.date(2018, 1, 6), datetime.date(2018, 2, 6)]"
4374,6a65e948,"[datetime.date(2016, 10, 19), datetime.date(2014, 11, 19), datetime.date(2017, 12, 20), datetime.date(2015, 6, 19), datetime.date(2015, 5, 19)]"
10272,e1f00925,"[datetime.date(2017, 5, 15), datetime.date(2017, 12, 18), datetime.date(2019, 3, 15), datetime.date(2017, 12, 15), datetime.date(2017, 2, 15)]"
4851,742dfdb9,"[datetime.date(2016, 4, 29), datetime.date(2015, 5, 29), datetime.date(2020, 4, 29), datetime.date(2015, 4, 29), datetime.date(2018, 3, 29)]"
6877,9d164b4f,"[datetime.date(2018, 5, 9), datetime.date(2018, 5, 3)]"
6870,9cee6b21,[]
589,1c1157eb,"[datetime.date(2017, 12, 26), datetime.date(2017, 12, 20)]"
8714,c24a037d,"[datetime.date(2018, 6, 13)]"
8125,b6626dbc,"[datetime.date(2000, 12, 19), datetime.date(2017, 12, 6), datetime.date(2015, 12, 19), datetime.date(2017, 12, 20), datetime.date(2017, 12, 1)]"
5730,85f28676,"[datetime.date(2018, 4, 21), datetime.date(2018, 4, 9), datetime.date(2018, 1, 9), datetime.date(2018, 2, 9)]"
6182,8eba7336,"[datetime.date(2018, 3, 12)]"
10127,de8ccce1,"[datetime.date(2017, 12, 15), datetime.date(2017, 12, 14), datetime.date(2025, 12, 14)]"
557,1b69ab2a,[]
8511,be70ee95,"[datetime.date(2017, 12, 17)]"
1520,2ded3fa1,"[datetime.date(2018, 12, 9), datetime.date(2050, 2, 9), datetime.date(2018, 1, 9), datetime.date(2030, 2, 9), datetime.date(2018, 2, 2)]"
11300,f7574c42,"[datetime.date(2018, 7, 4), datetime.date(2025, 5, 4), datetime.date(2018, 5, 2), datetime.date(2006, 5, 4), datetime.date(2018, 6, 4)]"
11509,fb6035a2,"[datetime.date(2018, 3, 3), datetime.date(2018, 3, 2), datetime.date(2014, 3, 12), datetime.date(2010, 3, 12), datetime.date(2018, 3, 12)]"
600,1c53bc71,"[datetime.date(2018, 5, 4), datetime.date(2018, 12, 4)]"
9883,d9eb25db,"[datetime.date(2018, 2, 23), datetime.date(2018, 3, 6), datetime.date(2018, 3, 22), datetime.date(2018, 3, 16), datetime.date(2018, 3, 7)]"
8876,c5a869f,"[datetime.date(2017, 12, 1), datetime.date(2030, 12, 12)]"
6255,90809bd2,"[datetime.date(2018, 3, 5), datetime.date(2018, 4, 11), datetime.date(2018, 2, 5), datetime.date(2060, 4, 5), datetime.date(2015, 4, 5)]"
10266,e1d61d2a,"[datetime.date(2017, 11, 27), datetime.date(2017, 5, 27), datetime.date(2017, 6, 27), datetime.date(2014, 12, 27), datetime.date(2017, 3, 27)]"
6212,8f80cf9b,"[datetime.date(2020, 2, 9), datetime.date(2018, 2, 9), datetime.date(2018, 2, 15)]"
498,1a3cff,"[datetime.date(2016, 5, 27), datetime.date(2012, 5, 27), datetime.date(2018, 6, 17), datetime.date(2018, 5, 27), datetime.date(2014, 5, 27)]"
1518,2de922be,"[datetime.date(2017, 3, 20), datetime.date(2017, 12, 18)]"
2495,42ce533a,"[datetime.date(2018, 3, 13), datetime.date(2025, 2, 13)]"
460,19711d31,"[datetime.date(2018, 4, 19)]"
3067,4fb26b9b,[]
7531,aa97e016,"[datetime.date(2018, 1, 15), datetime.date(2018, 1, 23)]"
10116,de58605d,"[datetime.date(2015, 2, 21), datetime.date(2018, 11, 21), datetime.date(2036, 2, 21), datetime.date(2025, 2, 21), datetime.date(2021, 2, 21)]"
8040,b4274ac4,"[datetime.date(2014, 12, 17), datetime.date(2016, 12, 17), datetime.date(2017, 3, 17), datetime.date(2017, 11, 17), datetime.date(2017, 12, 31)]"
7773,af176823,"[datetime.date(2018, 5, 18), datetime.date(2018, 5, 22), datetime.date(2053, 5, 18)]"
7143,a2cfc9a5,"[datetime.date(2017, 1, 8), datetime.date(2017, 12, 15), datetime.date(2017, 12, 21), datetime.date(2050, 12, 15), datetime.date(2017, 12, 20)]"
415,18731c4c,"[datetime.date(2018, 5, 28), datetime.date(2018, 5, 22), datetime.date(2018, 5, 3), datetime.date(2018, 5, 25), datetime.date(2018, 6, 26)]"
1583,2f39e7a7,"[datetime.date(2017, 12, 12)]"
6462,952c0d3f,"[datetime.date(2019, 1, 10), datetime.date(2018, 5, 7), datetime.date(2018, 1, 10), datetime.date(2018, 1, 16), datetime.date(2018, 5, 6)]"
1642,3083b355,"[datetime.date(2018, 12, 22), datetime.date(2018, 9, 11), datetime.date(2018, 5, 22), datetime.date(2003, 5, 22)]"
3651,5c37a777,"[datetime.date(2018, 12, 6), datetime.date(2018, 3, 6), datetime.date(2018, 5, 6)]"
1696,319ca24b,"[datetime.date(2017, 12, 29)]"
173,14065f6f,"[datetime.date(2018, 3, 19)]"
1334,2a7c063b,"[datetime.date(2018, 3, 5), datetime.date(2004, 2, 27), datetime.date(2018, 1, 27)]"
1720,323bbc12,"[datetime.date(2017, 6, 11), datetime.date(2018, 12, 11), datetime.date(2017, 1, 11), datetime.date(2018, 1, 11)]"
10066,dd44881e,"[datetime.date(2016, 3, 13), datetime.date(2017, 5, 13), datetime.date(2017, 12, 18), datetime.date(2017, 9, 13), datetime.date(2018, 12, 13)]"
9445,d0f23b6,"[datetime.date(2018, 3, 10), datetime.date(2018, 3, 15), datetime.date(2022, 3, 12)]"
6786,9b445a0f,"[datetime.date(2018, 5, 12), datetime.date(2015, 11, 12), datetime.date(2018, 2, 14)]"
10468,e63a39d2,"[datetime.date(2065, 3, 6), datetime.date(2009, 5, 8)]"
3790,5ec74f6d,[]
5712,85902b8c,"[datetime.date(2018, 5, 23), datetime.date(2040, 1, 23), datetime.date(2018, 3, 23), datetime.date(2018, 1, 23)]"
218,14c5684c,[]
3065,4f9ce632,"[datetime.date(2018, 3, 20), datetime.date(2018, 2, 21), datetime.date(2020, 3, 21), datetime.date(2016, 3, 21), datetime.date(2018, 4, 15)]"
6856,9cac1466,"[datetime.date(2018, 12, 31), datetime.date(2018, 4, 27), datetime.date(2018, 4, 6), datetime.date(2064, 4, 27), datetime.date(2005, 4, 27)]"
5124,79ea2319,"[datetime.date(2018, 2, 27)]"
3412,571c75e8,"[datetime.date(2018, 3, 26)]"
10189,dfef62fb,"[datetime.date(2018, 3, 5), datetime.date(2022, 2, 27), datetime.date(2016, 1, 17), datetime.date(2018, 2, 27), datetime.date(2018, 12, 27)]"
7258,a540b83f,"[datetime.date(2015, 3, 13), datetime.date(2018, 3, 8), datetime.date(2018, 3, 13), datetime.date(2013, 3, 13)]"
1141,26c39130,"[datetime.date(2012, 12, 12), datetime.date(2017, 12, 12), datetime.date(2017, 9, 12)]"
6113,8d9abba,"[datetime.date(2018, 3, 3), datetime.date(2018, 1, 3), datetime.date(2050, 1, 3), datetime.date(2016, 3, 3), datetime.date(2016, 1, 3)]"
193,145f300d,"[datetime.date(2017, 6, 10), datetime.date(2017, 12, 19), datetime.date(2017, 12, 13)]"
2032,39025248,"[datetime.date(2018, 5, 3), datetime.date(2017, 5, 9), datetime.date(2008, 9, 9), datetime.date(2018, 3, 9), datetime.date(2018, 5, 14)]"
3425,577ff918,"[datetime.date(2018, 2, 20), datetime.date(2029, 3, 31), datetime.date(2018, 2, 25), datetime.date(2018, 3, 19), datetime.date(2017, 2, 19)]"
3058,4f5cd4c,"[datetime.date(2017, 5, 13)]"
4772,72a9889f,[]
11511,fb69fddf,"[datetime.date(2018, 2, 10), datetime.date(2018, 5, 19), datetime.date(2018, 12, 19), datetime.date(2003, 2, 19), datetime.date(2030, 2, 19)]"
9527,d286b384,"[datetime.date(2030, 5, 23), datetime.date(2018, 12, 23), datetime.date(2018, 5, 16)]"
8192,b7ac7e03,[]
7718,ae054587,"[datetime.date(2018, 1, 20)]"
3821,5f3abf0c,"[datetime.date(2018, 3, 1), datetime.date(2018, 12, 13)]"
6344,926cd153,"[datetime.date(2018, 2, 10), datetime.date(2018, 3, 10), datetime.date(2018, 2, 5), datetime.date(2018, 2, 7), datetime.date(2017, 2, 10)]"
7814,afe32493,"[datetime.date(2018, 4, 26), datetime.date(2018, 5, 2), datetime.date(2055, 4, 26)]"
2071,39c50da0,[]
8945,c6e9a77f,"[datetime.date(2018, 6, 7), datetime.date(2021, 6, 7)]"
11241,f6070cc4,"[datetime.date(2017, 12, 12), datetime.date(2030, 12, 20), datetime.date(2000, 12, 20), datetime.date(2063, 12, 20), datetime.date(2015, 12, 20)]"
8944,c6e8ef25,"[datetime.date(2017, 3, 10), datetime.date(2013, 12, 10)]"
569,1ba6a560,"[datetime.date(2022, 3, 15), datetime.date(2018, 3, 14)]"
9318,ce706dfb,"[datetime.date(2018, 6, 8), datetime.date(2018, 6, 6), datetime.date(2006, 6, 5), datetime.date(2020, 6, 5), datetime.date(2018, 6, 5)]"
9434,d0ad8152,"[datetime.date(2010, 8, 20), datetime.date(2017, 12, 19)]"
7453,a8c31c54,[]
3842,5f9b8c5b,"[datetime.date(2020, 12, 13), datetime.date(2017, 12, 19), datetime.date(2017, 12, 13), datetime.date(2025, 12, 13), datetime.date(2017, 1, 13)]"
9529,d28ec445,"[datetime.date(2018, 5, 13)]"
404,18421eb0,"[datetime.date(2018, 3, 27), datetime.date(2018, 1, 28)]"
11506,fb571482,"[datetime.date(2018, 6, 4)]"
3228,5322d11,"[datetime.date(2018, 1, 14), datetime.date(2023, 1, 12)]"
7294,a5da9748,"[datetime.date(2014, 10, 10)]"
7803,af8b807f,"[datetime.date(2018, 3, 4), datetime.date(2018, 3, 30)]"
11180,f4b1e887,"[datetime.date(2020, 12, 8)]"
1036,247e6dbd,"[datetime.date(2018, 3, 9), datetime.date(2018, 2, 9), datetime.date(2017, 12, 31), datetime.date(2012, 12, 9)]"
10065,dd42474b,"[datetime.date(2017, 12, 25)]"
8199,b7dd9d3f,"[datetime.date(2018, 3, 26)]"
5068,78c5cf2a,"[datetime.date(2018, 5, 5)]"
2944,4cc8803f,"[datetime.date(2020, 5, 23)]"
8191,b7ab7976,"[datetime.date(2017, 2, 2), datetime.date(2018, 2, 10), datetime.date(2018, 7, 8), datetime.date(2018, 12, 2)]"
7219,a451a08d,[]
10957,f000dd0c,"[datetime.date(2018, 5, 28)]"
1004,23e32d17,"[datetime.date(2015, 4, 2), datetime.date(2018, 4, 21), datetime.date(2050, 4, 2)]"
604,1c5e019c,"[datetime.date(2017, 6, 20)]"
123,12ec78e8,"[datetime.date(2018, 5, 28), datetime.date(2024, 7, 22), datetime.date(2018, 5, 1)]"
6814,9bd3af66,"[datetime.date(2018, 3, 3), datetime.date(2018, 9, 3), datetime.date(2018, 1, 20), datetime.date(2018, 5, 3), datetime.date(2018, 1, 3)]"
